term,n,y0,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,prac_w_oknie,kategoria,poprzednik,uwagi
90 day,2,2017,2025,3.552,2.855,3651,"warfarin (lift 13.2, wsp. 14); no death (lift 9.4, wsp. 7); thromboembolism after (lift 9.3, wsp. 9); enoxaparin (lift 8.7, wsp. 9); prevention of venous (lift 8.5, wsp. 6)",[2016] Incidence of Deep Vein Thrombosis and Pulmonary Embolism in the Elective Pediatric Orthopaedic Patient. | [2016] Can an Arthroplasty Registry Help Decrease Transfusions in Primary Total Joint Replacement? A Quality Initiative. | [2016] Impact of Lumbar Fusion on Health Care Resource Utilization.,"[2023] Preoperative Comorbidities Associated With Early Mortality in Hip Fracture Patients: A Multicenter Study. | [2023] Are Short Stems Associated With Higher Fracture Rates and Early Revision Rates in Primary Total Hip Arthroplasty? A Noninferiority Analysis. | [2023] Discharge to inpatient rehabilitation following arthroplasty is a strong predictor of persistent opioid use 90 days after surgery: a prospective, observational study.",0.5,1904.5,USA,71.1,2.0,18.3,8703515,25.3,13.3,0.129,5.4,1.0,3108,,,
readmission,1,2014,2022,2.877,2.715,3905,"are encouraging (lift 6.4, wsp. 4); study see the (lift 6.2, wsp. 7); background data the (lift 5.2, wsp. 9); see the (lift 5.2, wsp. 7); knowledge there (lift 4.9, wsp. 5)",[2013] Complications of total knee arthroplasty: standardized list and definitions of the Knee Society. | [2013] A ten-year review of lower extremity burns in diabetics: small burns that lead to major problems. | [2013] Quality in orthopaedic surgery--an international perspective: AOA critical issues.,[2023] Streamlining orthopaedic trauma surgical care: do all patients need medical clearance? | [2023] Do older patients fare worse following unilateral or single stage bilateral total knee arthroplasty? | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.,0.6,2228.7,USA,73.3,1.8,19.4,8703515,20.7,18.2,0.159,4.4,0.97,3685,,,
periprosthetic joint infection,3,2011,2024,2.801,2.565,3389,"propionibacterium (lift 47.5, wsp. 5); of the infection (lift 27.9, wsp. 5); infected total (lift 24.8, wsp. 10); infected total knee (lift 20.7, wsp. 5); antibiotic impregnated (lift 19.3, wsp. 4)",[2010] Antibiotics for prevention of periprosthetic joint infection following dentistry: time to focus on data. | [2010] Is there a role for tissue biopsy in the diagnosis of periprosthetic infection? | [2010] A two-stage retention débridement protocol for acute periprosthetic joint infections.,[2023] A Case of Periprosthetic Joint Infection Because of Rothia Mucilaginosa. | [2023] Targeted Versus Shotgun Metagenomic Sequencing-based Detection of Microorganisms in Sonicate Fluid for Periprosthetic Joint Infection Diagnosis. | [2023] Microbiological profiles and antibiotic resistance of periprosthetic joint infection after hip replacement in patients with fracture or non-fracture: A comparative study.,0.3,2147.3,USA,41.2,5.0,10.4,8703515,27.6,11.1,0.184,3.8,0.99,3348,,,
propensity,1,2016,2025,3.692,2.439,2805,"method and result (lift 11.2, wsp. 5); anterior fusion (lift 8.6, wsp. 4); limb ischemia cli (lift 6.9, wsp. 11); for critical limb (lift 6.5, wsp. 5); low molecular weight (lift 6.0, wsp. 4)",[2015] Pediatric monteggia fractures: a multicenter examination of treatment strategy and early clinical and radiographic results. | [2015] Operative versus nonoperative treatment of displaced proximal humeral physeal fractures: a matched cohort. | [2016] Perioperative Outcomes After Cervical Laminoplasty Versus Posterior Decompression and Fusion: Analysis of 779 Patients in the ACS-NSQIP Database.,[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Risk of Postoperative Sciatic Nerve Palsy After Posterior Acetabular Fracture Fixation: Does Patient Position Matter? | [2023] Comparison of the clinical outcomes following total knee arthroplasty in osseous ankylosed and non-ankylosed knees using propensity-score matching.,0.5,1630.3,USA,47.6,3.9,11.7,8703515,12.7,34.8,0.196,3.5,1.0,2527,,,
a retrospective cohort,3,2016,2025,3.498,2.425,3155,"background data there (lift 10.0, wsp. 6); one consecutive (lift 8.5, wsp. 4); their age (lift 8.5, wsp. 4); patient died of (lift 8.3, wsp. 4); at operation (lift 7.5, wsp. 7)",[2016] Polyetheretherketone (PEEK) Rods in Lumbar Spine Degenerative Disease: A Case Series. | [2015] Removing Outer Gloves as a Method to Reduce Spinal Surgery Infection. | [2015] Analysis of Risk Factors Causing New Symptomatic Vertebral Compression Fractures After Percutaneous Vertebroplasty for Painful Osteoporotic Vertebral Compression Fractures: A 4-year Follow-up.,[2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study. | [2023] Correlation Analysis between Residual Pain after Vertebral Augmentation and the Diffusion Distribution of Bone Cement: A Retrospective Cohort Study. | [2023] Preoperative overweight and obesity do not cause inferior outcomes following open-wedge high tibial osteotomy: A retrospective cohort study of 123 patients.,0.4,2141.6,USA,32.9,6.3,13.7,8703515,5.9,54.9,0.133,5.2,1.0,2717,,,
postoperative outcome,2,2022,2025,3.705,2.391,3220,"study level iv (lift 7.3, wsp. 4); a computer assisted (lift 6.8, wsp. 4); background data there (lift 6.4, wsp. 5); form 36 sf (lift 5.2, wsp. 10); 36 sf 36 (lift 4.8, wsp. 10)",[2021] Effect of Remnant Tissues on Outcomes of Anterior Cruciate Ligament Reconstruction at Follow-up Arthroscopy. | [2021] Associations Between Preoperative Hyponatremia and 30-Day Perioperative Complications in Lumbar Interbody Spinal Fusion. | [2021] Comparison Between the Direct Anterior and Posterior Approaches for Total Hip Arthroplasty Performed for Femoral Neck Fracture.,[2023] Predicting outcomes after total knee arthroplasty using intraoperative knee kinematics measured by navigation. | [2023] Reverse shoulder arthroplasty for proximal humerus fractures: a comparison of the deltoid split and deltopectoral approaches. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.,0.3,1351.6,USA,45.8,3.9,11.6,8703515,8.2,46.1,0.203,3.4,1.0,1530,,,
revision rate,2,2020,2025,2.682,2.351,3718,"polyethylene in (lift 12.5, wsp. 14); metal total hip (lift 11.7, wsp. 18); on metal total (lift 11.0, wsp. 18); uncemented total (lift 10.6, wsp. 21); uncemented total hip (lift 10.5, wsp. 16)",[2019] Robotic-assisted Medial Unicompartmental Knee Arthroplasty: Options and Outcomes. | [2019] External Fixation in the Emergency Department for Pilon and Unstable Ankle Fractures. | [2019] Use of Magnetic Spinal Growth Rods (MCGR) With and Without Preoperative Halo-gravity Traction (HGT) for the Treatment of Severe Early-onset Scoliosis (EOS).,"[2023] First-time revision knee arthroplasty using a hinged prosthesis : temporal trends, indications, and risk factors associated with re-revision using data from the National Joint Registry for 3,855 patients. | [2023] Titanium niobium nitride knee implants are not inferior to chrome cobalt components for primary total knee arthroplasty at medium-term follow-up. | [2023] Mid-term Follow Up of a Highly Porous Acetabular Component for Primary Total Hip Arthroplasty.",0.5,1556.7,USA,31.6,7.7,10.0,8703515,12.4,26.1,0.063,11.0,1.0,2060,,,
healthcare,1,2019,2024,2.808,2.296,3649,"the guideline for (lift 14.8, wsp. 4); asked whether (lift 7.2, wsp. 5); waiting list (lift 6.7, wsp. 5); wanted to (lift 5.8, wsp. 9); wanted (lift 5.4, wsp. 10)",[2018] Predictors of 30-Day Hospital Readmission After Posterior Cervical Fusion in 3401 Patients. | [2018] Outpatient vs Inpatient Anterior Cervical Discectomy and Fusion: A Population-Level Analysis of Outcomes and Cost. | [2018] Treatment of Degenerative Lumbar Spondylolisthesis With Fusion or Decompression Alone Results in Similar Rates of Reoperation at 5 Years.,"[2023] The Effect of Preoperative Behavioral Intervention on Pain, Anxiety, Opioid Use, and Function in Patients Undergoing Total Knee Arthroplasty: A Randomized Controlled Study. | [2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population. | [2023] Individual participant data meta-analysis of metabolomics on sustained knee pain in primary osteoarthritis patients.",0.5,1866.6,USA,42.4,4.9,12.1,8703515,7.3,61.9,0.077,8.9,0.97,2289,,,
outcome between,2,2021,2025,2.582,2.154,3323,"evidence of loosening (lift 6.1, wsp. 5); resurfaced (lift 5.6, wsp. 6); was 24 month (lift 5.6, wsp. 6); patient because of (lift 5.3, wsp. 4); background data there (lift 5.1, wsp. 5)","[2020] Quadriceps Tendon Autograft in Anterior Cruciate Ligament Reconstruction. | [2020] Perioperative Outcome of Severe Idiopathic Scoliosis (Cobb Angle ≥ 90°): Is There Any Difference Between ""Daytime"" Versus ""After-hours"" Surgeries? | [2020] Comparison of Locked Plating of Varus Displaced Proximal Humeral Fractures With and Without Fibula Allograft Augmentation.","[2023] Immediate Effects of Walking With a Knee Brace After Anterior Cruciate Ligament Reconstruction: A Biomechanical, Biochemical, and Structural Approach. | [2023] Improvement Trajectories in Patient-Reported Outcomes Between Males and Females After Anterior Cruciate Ligament Reconstruction. | [2023] Locked Lateral Plating Versus Retrograde Nailing for Distal Femur Fractures: A Multicenter Randomized Trial.",0.3,1429.5,USA,28.4,7.2,8.5,8703515,4.7,52.3,0.074,9.4,1.0,1583,,,
clinically important,2,2017,2025,2.294,2.052,2548,"quasi randomized (lift 40.6, wsp. 14); author conclusion (lift 36.2, wsp. 19); searched the cochrane (lift 34.8, wsp. 12); collection and analysis (lift 30.9, wsp. 19); year followup (lift 14.7, wsp. 12)",[2016] Cost-Utility Analysis of 1- and 2-Level Dorsal Lumbar Fusions With and Without Recombinant Human Bone Morphogenic Protein-2 at 1-Year Follow-Up. | [2016] John Charnley Award: Preoperative Patient-reported Outcome Measures Predict Clinically Meaningful Improvement in Function After THA. | [2016] What Is the Clinical Relevance of Radiographic Nonunion After Single-Level Lumbar Interbody Arthrodesis in Degenerative Disc Disease?: A Meta-Analysis of the YODA Project Database.,[2023] Quadriceps Strength and Knee-Related Symptom State 6 Months After Anterior Cruciate Ligament Reconstruction. | [2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups. | [2023] Minimally invasive versus open transforaminal lumbar interbody fusion for grade I lumbar spondylolisthesis: 5-year follow-up from the prospective multicenter Quality Outcomes Database registry.,0.8,1082.8,USA,50.8,3.6,8.1,8506498,16.6,17.6,0.153,4.5,1.0,2106,,,
